#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Fusarium graminearum PH-1","Eukaryota;Fungi;Ascomycetes","PH-1; NRRL 31084","SAMN02953593","PRJNA13839","GCA_000240135.3"," Chromosome",36.458,48.3278,"chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1","AACM02",31,13313,"2003-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3"
"Pyricularia oryzae 70-15","Eukaryota;Fungi;Ascomycetes","70-15","SAMN02953596","PRJNA13840","GCA_000002495.2"," Chromosome",40.9791,51.5882,"chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1","AACU03",53,12989,"2003-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/495/GCA_000002495.2_MG8","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8"
"Ustilago maydis 521","Eukaryota;Fungi;Basidiomycetes","521","SAMN02900459","PRJNA1446","GCA_000328475.2"," Chromosome",19.6644,54.0121,"chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1","AACP02",27,6782,"2003-07-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/475/GCA_000328475.2_Umaydis521_2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0"
"Eremothecium gossypii ATCC 10895","Eukaryota;Fungi;Ascomycetes","ATCC 10895","SAMN03081415","PRJNA13834","GCA_000091025.4","Complete",9.11931,51.6989,"chromosome I:NC_005782.2/AE016814.2; chromosome II:NC_005783.5/AE016815.5; chromosome III:NC_005784.3/AE016816.3; chromosome IV:NC_005785.6/AE016817.6; chromosome V:NC_005786.2/AE016818.2; chromosome VI:NC_005787.5/AE016819.5; chromosome VII:NC_005788.4/AE016820.4; mitochondrion MT:NC_005789.1/AE016821.1",,8,4776,"2004-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/025/GCA_000091025.4_ASM9102v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/025/GCF_000091025.4_ASM9102v4"
"Zymoseptoria tritici IPO323","Eukaryota;Fungi;Ascomycetes","IPO323","SAMN02746078","PRJNA19047","GCA_000219625.1"," Chromosome",39.6863,52.1368,"chromosome 1:NC_018218.1/CM001196.1; chromosome 2:NC_018217.1/CM001197.1; chromosome 3:NC_018216.1/CM001198.1; chromosome 4:NC_018215.1/CM001199.1; chromosome 5:NC_018214.1/CM001200.1; chromosome 6:NC_018213.1/CM001201.1; chromosome 7:NC_018212.1/CM001202.1; chromosome 8:NC_018211.1/CM001203.1; chromosome 9:NC_018210.1/CM001204.1; chromosome 10:NC_018209.1/CM001205.1; chromosome 11:NC_018208.1/CM001206.1; chromosome 12:NC_018207.1/CM001207.1; chromosome 13:NC_018206.1/CM001208.1; chromosome 14:NC_018205.1/CM001209.1; chromosome 15:NC_018204.1/CM001210.1; chromosome 16:NC_018203.1/CM001211.1; chromosome 17:NC_018202.1/CM001212.1; chromosome 18:NC_018201.1/CM001213.1; chromosome 19:NC_018200.1/CM001214.1; chromosome 20:NC_018199.1/CM001215.1; chromosome 21:NC_018198.1/CM001216.1","ACPE01",21,10963,"2011-06-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/625/GCA_000219625.1_MYCGR_v2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/625/GCF_000219625.1_MYCGR_v2.0"
"Parastagonospora nodorum SN15","Eukaryota;Fungi;Ascomycetes","SN15","SAMN02953619","PRJNA13754","GCA_000146915.2","Scaffold",37.214,50.3719,"mitochondrion MT:NC_009746.1/EU053989.1","AAGI01",108,15994,"2005-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/915/GCA_000146915.2_ASM14691v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/915/GCF_000146915.1_ASM14691v2"
"Sclerotinia sclerotiorum 1980 UF-70","Eukaryota;Fungi;Ascomycetes","1980","SAMN02953621","PRJNA15530","GCA_000146945.2","Scaffold",38.4592,41.8631,"mitochondrion MT:NC_035155.1/KT283062.1","AAGT01",37,14490,"2005-09-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/945/GCA_000146945.2_ASM14694v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/945/GCF_000146945.2_ASM14694v2"
"Fusarium verticillioides 7600","Eukaryota;Fungi;Ascomycetes","7600","SAMN02953630","PRJNA15553","GCA_000149555.1"," Chromosome",41.8449,48.6857,"chromosome 1:NC_031675.1/CM000578.1; chromosome 2:NC_031676.1/CM000579.1; chromosome 3:NC_031677.1/CM000580.1; chromosome 4:NC_031678.1/CM000581.1; chromosome 5:NC_031679.1/CM000582.1; chromosome 6:NC_031680.1/CM000583.1; chromosome 7:NC_031681.1/CM000584.1; chromosome 8:NC_031682.1/CM000585.1; chromosome 9:NC_031683.1/CM000586.1; chromosome 10:NC_031684.1/CM000587.1; chromosome 11:NC_031685.1/CM000588.1; mitochondrion MT:NC_016687.1/","AAIM02",37,20574,"2005-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/555/GCA_000149555.1_ASM14955v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/555/GCF_000149555.1_ASM14955v1"
"Botrytis cinerea B05.10","Eukaryota;Fungi;Ascomycetes","B05.10","SAMN02953628","PRJNA15632","GCA_000143535.4","Complete",42.6301,42.0028,"chromosome 1:NC_037310.1/CP009805.1; chromosome 2:NC_037311.1/CP009806.1; chromosome 3:NC_037312.1/CP009807.1; chromosome 4:NC_037313.1/CP009808.1; chromosome 5:NC_037314.1/CP009809.1; chromosome 6:NC_037315.1/CP009810.1; chromosome 7:NC_037316.1/CP009811.1; chromosome 8:NC_037317.1/CP009812.1; chromosome 9:NC_037318.1/CP009813.1; chromosome 10:NC_037319.1/CP009814.1; chromosome 11:NC_037320.1/CP009815.1; chromosome 12:NC_037321.1/CP009816.1; chromosome 13:NC_037322.1/CP009817.1; chromosome 14:NC_037323.1/CP009818.1; chromosome 15:NC_037324.1/CP009819.1; chromosome 16:NC_037325.1/CP009820.1; chromosome 17:NC_037326.1/CP009821.1; chromosome 18:NC_037327.1/CP009822.1",,18,13703,"2015-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/535/GCA_000143535.4_ASM14353v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/535/GCF_000143535.2_ASM14353v4"
"Pyrenophora tritici-repentis Pt-1C-BFP","Eukaryota;Fungi;Ascomycetes","Pt-1C-BFP","SAMN02953676","PRJNA18815","GCA_000149985.1","Scaffold",37.9975,50.8,,"AAXI01",48,12169,"2007-04-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/985/GCA_000149985.1_ASM14998v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/985/GCF_000149985.1_ASM14998v1"
"Fusarium oxysporum f. sp. lycopersici 4287","Eukaryota;Fungi;Ascomycetes","4287","SAMN02953675","PRJNA18813","GCA_000149955.2"," Chromosome",61.3869,48.4264,"chromosome 1:NC_030986.1/CM000589.1; chromosome 2:NC_030987.1/CM000590.1; chromosome 3:NC_030988.1/CM000591.1; chromosome 4:NC_030989.1/CM000592.1; chromosome 5:NC_030990.1/CM000593.1; chromosome 6:NC_030991.1/CM000594.1; chromosome 7:NC_030992.1/CM000595.1; chromosome 8:NC_030993.1/CM000596.1; chromosome 9:NC_030994.1/CM000597.1; chromosome 10:NC_030995.1/CM000598.1; chromosome 11:NC_030996.1/CM000599.1; chromosome 12:NC_030997.1/CM000600.1; chromosome 13:NC_030998.1/CM000601.1; chromosome 14:NC_030999.1/CM000602.2; chromosome 15:NC_031000.1/CM000603.1","AAXH01",114,27347,"2007-04-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/955/GCA_000149955.2_ASM14995v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/955/GCF_000149955.1_ASM14995v2"
